user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
vo_ine,15,2022,3,14,1,3/14/2022,https://sullygnome.com/channel/vo_ine/stream/45843648381,178,1770032,9944,15773,512,157,70685,21749,Just Chatting,,0
vo_ine,15,2022,3,13,7,3/13/2022,https://sullygnome.com/channel/vo_ine/stream/45829954717,105,1234065,11753,15257,306,153,30565,15282,Just Chatting,,0
vo_ine,15,2022,3,12,6,3/12/2022,https://sullygnome.com/channel/vo_ine/stream/45819413645,354,3208656,9064,12671,627,100,80187,12829,Just Chatting,,0
vo_ine,15,2022,3,11,5,3/11/2022,https://sullygnome.com/channel/vo_ine/stream/45807583245,396,3303432,8342,14061,1123,166,136579,20233,Just Chatting,,1
vo_ine,15,2022,3,10,4,3/10/2022,https://sullygnome.com/channel/vo_ine/stream/45797533165,508,3025140,5955,10314,805,92,109850,12554,Just Chatting,,0
vo_ine,15,2022,3,9,3,3/9/2022,https://sullygnome.com/channel/vo_ine/stream/45786745213,533,3511937,6589,9761,927,100,105615,11417,Just Chatting,,0
vo_ine,15,2022,3,8,2,3/8/2022,https://sullygnome.com/channel/vo_ine/stream/45776384877,382,4066390,10645,12703,959,142,77207,11438,Just Chatting,,0
vo_ine,15,2022,3,5,6,3/5/2022,https://sullygnome.com/channel/vo_ine/stream/45742049037,447,2292216,5128,8227,712,91,75885,9791,Just Chatting,,0
vo_ine,15,2022,3,3,4,3/3/2022,https://sullygnome.com/channel/vo_ine/stream/45719633117,581,3987403,6863,10501,754,75,70839,7083,Just Chatting,,0
vo_ine,15,2022,3,1,2,3/1/2022,https://sullygnome.com/channel/vo_ine/stream/45699424413,286,2273414,7949,11844,657,131,50883,10176,Just Chatting,,0
vo_ine,14,2022,2,27,7,2/27/2022,https://sullygnome.com/channel/vo_ine/stream/45677799373,164,891012,5433,6459,256,85,21374,7124,Just Chatting,,0
vo_ine,14,2022,2,26,6,2/26/2022,https://sullygnome.com/channel/vo_ine/stream/45663515357,552,4899000,8875,10988,647,68,75259,7922,Just Chatting,,0
vo_ine,14,2022,2,25,5,2/25/2022,https://sullygnome.com/channel/vo_ine/stream/45651695565,385,2635710,6846,8780,599,88,65511,9705,Just Chatting,,0
vo_ine,14,2022,2,24,4,2/24/2022,https://sullygnome.com/channel/vo_ine/stream/45640889549,339,2074680,6120,7798,552,92,52342,8723,Just Chatting,,0
vo_ine,14,2022,2,23,3,2/23/2022,https://sullygnome.com/channel/vo_ine/stream/45628268781,319,2521695,7905,10823,657,119,63783,11596,Just Chatting,,0
vo_ine,14,2022,2,21,1,2/21/2022,https://sullygnome.com/channel/vo_ine/stream/45606064797,431,3760906,8726,12349,717,95,71115,9482,Just Chatting,,0
vo_ine,14,2022,2,20,7,2/20/2022,https://sullygnome.com/channel/vo_ine/stream/45593257213,656,5902688,8998,12875,1207,107,110667,9837,Just Chatting,,0
vo_ine,14,2022,2,18,5,2/18/2022,https://sullygnome.com/channel/vo_ine/stream/45568398861,478,5012786,10487,12756,726,88,71457,8661,Just Chatting,,0
vo_ine,14,2022,2,17,4,2/17/2022,https://sullygnome.com/channel/vo_ine/stream/45556443101,546,4576026,8381,11446,877,92,87125,9171,Just Chatting,,0
vo_ine,14,2022,2,15,2,2/15/2022,https://sullygnome.com/channel/vo_ine/stream/45535785629,339,1871958,5522,6866,447,74,34821,5803,Just Chatting,,0
vo_ine,14,2022,2,13,7,2/13/2022,https://sullygnome.com/channel/vo_ine/stream/45512031821,525,2853375,5435,7521,856,95,104930,11658,Just Chatting,1,0
vo_ine,14,2022,2,12,6,2/12/2022,https://sullygnome.com/channel/vo_ine/stream/45498348349,516,5421096,10506,13429,1050,120,91368,10442,Just Chatting,,0
vo_ine,14,2022,2,8,2,2/8/2022,https://sullygnome.com/channel/vo_ine/stream/45451938605,439,3326303,7577,10760,923,123,85427,11390,Just Chatting,,0
vo_ine,14,2022,2,6,7,2/6/2022,https://sullygnome.com/channel/vo_ine/stream/45429278957,137,971604,7092,8496,370,148,25679,10271,Just Chatting,,0
vo_ine,14,2022,2,5,6,2/5/2022,https://sullygnome.com/channel/vo_ine/stream/45414777645,356,3896064,10944,17042,1119,179,70623,11299,Just Chatting,,0
vo_ine,14,2022,2,2,3,2/2/2022,https://sullygnome.com/channel/vo_ine/stream/45379045629,484,1988272,4108,6507,786,95,67580,8191,Just Chatting,,0
vo_ine,14,2022,2,1,2,2/1/2022,https://sullygnome.com/channel/vo_ine/stream/45366487133,588,6156360,10470,13330,1674,167,105940,10594,Just Chatting,,0
vo_ine,13,2022,1,28,5,1/28/2022,https://sullygnome.com/channel/vo_ine/stream/45319092173,278,1615180,5810,8052,486,97,33409,6681,Just Chatting,,0
vo_ine,13,2022,1,25,2,1/25/2022,https://sullygnome.com/channel/vo_ine/stream/45280309869,667,4018008,6024,7965,1176,102,77232,6715,Just Chatting,,0
vo_ine,13,2022,1,22,6,1/22/2022,https://sullygnome.com/channel/vo_ine/stream/45242674541,82,150470,1835,2359,147,84,11706,6689,Just Chatting,,0
vo_ine,13,2022,1,21,5,1/21/2022,https://sullygnome.com/channel/vo_ine/stream/45229470077,678,2847600,4200,8830,1202,104,69850,6073,Just Chatting,,0
vo_ine,13,2022,1,18,2,1/18/2022,https://sullygnome.com/channel/vo_ine/stream/45193901661,344,2484024,7221,9462,1035,172,56101,9350,Just Chatting,,0
vo_ine,13,2022,1,15,6,1/15/2022,https://sullygnome.com/channel/vo_ine/stream/45154893709,379,2898592,7648,12409,1281,197,75583,11628,Just Chatting,,0
vo_ine,13,2022,1,14,5,1/14/2022,https://sullygnome.com/channel/vo_ine/stream/45141556509,458,2496558,5451,7534,1066,133,56747,7093,Just Chatting,,0
vo_ine,13,2022,1,11,2,1/11/2022,https://sullygnome.com/channel/vo_ine/stream/45106326669,487,3064691,6293,9098,1283,150,81826,9626,Just Chatting,,0
vo_ine,13,2022,1,9,7,1/9/2022,https://sullygnome.com/channel/vo_ine/stream/45083537645,341,1548822,4542,5881,782,130,59831,9971,Just Chatting,,0
vo_ine,13,2022,1,8,6,1/8/2022,https://sullygnome.com/channel/vo_ine/stream/45068877229,235,1180640,5024,6816,641,150,50663,11920,Just Chatting,1,0
vo_ine,13,2022,1,7,5,1/7/2022,https://sullygnome.com/channel/vo_ine/stream/45055668365,553,2896061,5237,7258,1374,144,66718,7022,Just Chatting,,0
vo_ine,13,2022,1,3,1,1/3/2022,https://sullygnome.com/channel/vo_ine/stream/45009798333,211,1707623,8093,10058,523,139,43195,11518,Just Chatting,,0
vo_ine,13,2022,1,3,1,1/3/2022,https://sullygnome.com/channel/vo_ine/stream/45008405949,235,1612335,6861,10058,794,186,53024,12476,Just Chatting,,0
vo_ine,13,2022,1,1,6,1/1/2022,https://sullygnome.com/channel/vo_ine/stream/44985150045,400,2202800,5507,7667,535,76,60941,8705,Just Chatting,,0
vo_ine,12,2021,12,30,4,12/30/2021,https://sullygnome.com/channel/vo_ine/stream/44961853997,381,2046732,5372,7620,712,109,39759,6116,Just Chatting,,0
vo_ine,12,2021,12,29,3,12/29/2021,https://sullygnome.com/channel/vo_ine/stream/44949259869,543,2313723,4261,5411,1074,116,59266,6407,Just Chatting,,0
vo_ine,12,2021,12,28,2,12/28/2021,https://sullygnome.com/channel/vo_ine/stream/44936694413,260,1664520,6402,8118,848,199,26064,6132,Just Chatting,,0
vo_ine,12,2021,12,25,6,12/25/2021,https://sullygnome.com/channel/vo_ine/stream/44904058429,516,3737388,7243,10841,1778,203,82765,9458,Just Chatting,,0
vo_ine,12,2021,12,23,4,12/23/2021,https://sullygnome.com/channel/vo_ine/stream/44884016045,0,0,3395,3395,0,0,0,0,Just Chatting,,0
vo_ine,12,2021,12,21,2,12/21/2021,https://sullygnome.com/channel/vo_ine/stream/44863742221,216,1358208,6288,11652,1253,334,47674,12713,Just Chatting,,0
vo_ine,12,2021,12,19,7,12/19/2021,https://sullygnome.com/channel/vo_ine/stream/44841813309,519,964302,1858,3174,512,58,45644,5216,Just Chatting,,0
vo_ine,12,2021,12,18,6,12/18/2021,https://sullygnome.com/channel/vo_ine/stream/44829937485,609,1877547,3083,4825,535,52,36591,3569,Just Chatting,,0
vo_ine,12,2021,12,17,5,12/17/2021,https://sullygnome.com/channel/vo_ine/stream/44820166061,337,528079,1567,2290,381,66,28731,4996,VRChat,,1
vo_ine,12,2021,12,17,5,12/17/2021,https://sullygnome.com/channel/vo_ine/stream/44817408973,243,1115856,4592,7965,910,214,34855,8201,Just Chatting,,1
vo_ine,12,2021,12,16,4,12/16/2021,https://sullygnome.com/channel/vo_ine/stream/44809662189,141,303009,2149,2650,142,56,8943,3577,Just Chatting,,0
vo_ine,12,2021,12,14,2,12/14/2021,https://sullygnome.com/channel/vo_ine/stream/44789887613,540,1515240,2806,3761,326,36,23672,2630,Just Chatting,,0
vo_ine,12,2021,12,12,7,12/12/2021,https://sullygnome.com/channel/vo_ine/stream/44765693837,401,711374,1774,2318,280,41,32443,4806,Just Chatting,1,0
vo_ine,12,2021,12,11,6,12/11/2021,https://sullygnome.com/channel/vo_ine/stream/44752992189,727,2104665,2895,10553,350,28,40615,3315,Just Chatting,,0
vo_ine,12,2021,12,9,4,12/9/2021,https://sullygnome.com/channel/vo_ine/stream/44727693405,257,794130,3090,3781,162,36,15512,3447,Just Chatting,,0
vo_ine,12,2021,12,7,2,12/7/2021,https://sullygnome.com/channel/vo_ine/stream/44703863629,242,618068,2554,3401,163,38,13327,3135,Just Chatting,,0
vo_ine,12,2021,12,4,6,12/4/2021,https://sullygnome.com/channel/vo_ine/stream/44668109693,624,995280,1595,2057,168,16,19705,1876,Just Chatting,,0
vo_ine,12,2021,12,3,5,12/3/2021,https://sullygnome.com/channel/vo_ine/stream/44656251453,566,767496,1356,2273,190,20,22732,2392,Just Chatting,,0
vo_ine,12,2021,12,2,4,12/2/2021,https://sullygnome.com/channel/vo_ine/stream/44645711789,460,952200,2070,2772,174,22,16528,2132,Minecraft,,0
vo_ine,12,2021,12,1,3,12/1/2021,https://sullygnome.com/channel/vo_ine/stream/44634848909,402,906912,2256,2804,108,16,11412,1690,Just Chatting,,0
vo_ine,11,2021,11,30,2,11/30/2021,https://sullygnome.com/channel/vo_ine/stream/44622675853,477,729810,1530,2486,174,21,15743,1967,Just Chatting,,0
vo_ine,11,2021,11,28,7,11/28/2021,https://sullygnome.com/channel/vo_ine/stream/44599160973,787,1474051,1873,2950,277,20,25332,1911,Just Chatting,,0
vo_ine,11,2021,11,26,5,11/26/2021,https://sullygnome.com/channel/vo_ine/stream/44573618317,394,836462,2123,2890,138,20,17001,2518,Just Chatting,,0
vo_ine,11,2021,11,25,4,11/25/2021,https://sullygnome.com/channel/vo_ine/stream/44562190781,273,806442,2954,3608,158,33,11396,2399,Just Chatting,,0
vo_ine,11,2021,11,21,7,11/21/2021,https://sullygnome.com/channel/vo_ine/stream/44516108445,425,787950,1854,2837,143,19,14514,2001,Just Chatting,,0
vo_ine,11,2021,11,20,6,11/20/2021,https://sullygnome.com/channel/vo_ine/stream/44501114333,534,1171062,2193,2771,262,29,21670,2407,Just Chatting,,0
vo_ine,11,2021,11,17,3,11/17/2021,https://sullygnome.com/channel/vo_ine/stream/44464563277,372,494016,1328,2013,141,22,12285,1965,Just Chatting,,0
vo_ine,11,2021,11,16,2,11/16/2021,https://sullygnome.com/channel/vo_ine/stream/44455406557,90,109440,1216,1481,18,12,1292,861,Just Chatting,,0
vo_ine,11,2021,11,16,2,11/16/2021,https://sullygnome.com/channel/vo_ine/stream/44452623389,413,969724,2348,2762,276,39,19080,2725,Just Chatting,,0
